track_id,ft_beat_F-measure,ft_downbeat_F-measure,ft_beat_Cemgil,ft_downbeat_Cemgil,bt_beat_F-measure,bt_downbeat_F-measure,bt_beat_Cemgil,bt_downbeat_Cemgil,mm_beat_F-measure,mm_downbeat_F-measure,mm_beat_Cemgil,mm_downbeat_Cemgil,delta_ft_minus_bt_beat_F-measure,delta_ft_minus_mm_beat_F-measure,delta_ft_minus_bt_downbeat_F-measure,delta_ft_minus_mm_downbeat_F-measure,delta_ft_minus_bt_beat_Cemgil,delta_ft_minus_mm_beat_Cemgil,delta_ft_minus_bt_downbeat_Cemgil,delta_ft_minus_mm_downbeat_Cemgil
clarks-nica-duviviergroachm-1959-beccaecc,0.9989929506545822,0.7028571428571427,0.9424087690047608,0.661077117720109,0.9989929506545822,0.875968992248062,0.931609109060569,0.8378206992718321,1.0,1.0,0.9906515566266048,0.9924429206677784,0.0,-0.001007049345417843,-0.17311184939091928,-0.29714285714285726,0.010799659944191742,-0.048242787621843974,-0.1767435815517231,-0.3313658029476694
coreac-autumnleaves-patituccijweckld-1989-9f758273,0.9565217391304348,0.3842364532019704,0.8692813768144318,0.3491813189670826,0.8427419354838709,0.0685358255451713,0.6884982214717267,0.0579693992432453,0.6375757575757575,0.0970873786407766,0.6209523479438356,0.0973822933581396,0.11377980364656393,0.31894598155467735,0.3157006276567991,0.2871490745611938,0.18078315534270517,0.24832902887059627,0.2912119197238373,0.251799025608943
coreac-pucciniswalk-gomezemotianp-2010-f73a790c,0.9988518943742823,0.3493449781659389,0.9322742576655686,0.326794329360987,0.9443099273607748,0.2017543859649122,0.8720346832969076,0.1883002305933886,0.665644171779141,0.0,0.655871456093175,2.547720689956891e-31,0.05454196701350755,0.3332077225951413,0.14759059220102672,0.3493449781659389,0.06023957436866101,0.2764028015723936,0.1384940987675984,0.326794329360987
coreac-somedaymyprincewillcome-patituccijweckld-1989-2fea2bf0,1.0,0.7154471544715447,0.9511783101385104,0.6764515567902172,0.9888475836431226,0.9662921348314608,0.9329519316817888,0.918848876740615,0.929368029739777,0.9213483146067416,0.9222962827156876,0.9195851864445972,0.01115241635687736,0.07063197026022305,-0.2508449803599161,-0.20590116013519688,0.018226378456721593,0.028882027422822754,-0.24239731995039782,-0.24313362965438
coreac-sophisticatedlady-patituccijweckld-1989-85cb4d64,0.8315098468271336,0.4607329842931936,0.749929719896781,0.3985911373158704,0.5706371191135733,0.6101694915254238,0.5344509843685101,0.5797343960105588,0.8141592920353982,0.5357142857142857,0.8021272717872323,0.5316458532763385,0.2608727277135603,0.017350554791735417,-0.14943650723223018,-0.0749813014210921,0.2154787355282709,-0.05219755189045128,-0.18114325869468834,-0.13305471596046808
coreac-veryearly-gomezemotianp-2010-8435d193,0.99835255354201,0.7087719298245615,0.9512672337549344,0.6776185334452158,0.99835255354201,0.8557692307692306,0.943661610458955,0.8228645912901279,0.99835255354201,1.0,0.9936310952293352,0.9948861651183692,0.0,0.0,-0.14699730094466912,-0.2912280701754385,0.007605623295979358,-0.042363861474400855,-0.14524605784491207,-0.3172676316731534
cowells-evidence-mcclurercopelandk-1989-2b14bd69,1.0,0.7507507507507508,0.9626003308949388,0.7188357272951861,0.9152173913043478,0.9283018867924528,0.8690260620817771,0.8952129435079815,1.0,1.0,0.9955456026085542,0.9954124750752716,0.08478260869565224,0.0,-0.17755113604170203,-0.24924924924924918,0.09357426881316167,-0.03294527171361539,-0.17637721621279545,-0.27657674778008556
drewk-bemylove-russellcblakeya-1951-15d2c22f,0.9945355191256832,0.6618181818181819,0.948667202296174,0.627217687951904,0.989071038251366,0.8681318681318682,0.8824079079138198,0.8363409207807821,0.6678832116788321,0.0,0.6569825190863402,3.883149804513495e-07,0.005464480874317168,0.32665230744685103,-0.2063136863136863,0.6618181818181819,0.06625929438235412,0.29168468320983376,-0.20912323282887813,0.6272172996369235
drewk-bluesville-wrightespecsc-1953-0e9a33ad,1.0,0.3505976095617529,0.9696235546619306,0.3401967705394338,1.0,0.0,0.943961683329524,5.812997974881426e-17,1.0,1.0,0.9950290379418958,0.9937064719535812,0.0,0.0,0.3505976095617529,-0.6494023904382471,0.025661871332406605,-0.02540548327996517,0.34019677053943376,-0.6535097014141473
drewk-illrememberapril-wrightespecsc-1953-cf0eadd8,0.9994620763851532,0.597938144329897,0.9782946165669818,0.5853199455791134,0.9994620763851532,1.0,0.9163429430301596,0.9569316415668214,0.6671449067431852,0.664756446991404,0.663429387617637,0.6598308195856403,0.0,0.332317169641968,-0.402061855670103,-0.06681830266150701,0.06195167353682218,0.31486522894934477,-0.37161169598770805,-0.0745108740065269
